Ep 16 | B 90 | Src:12.41 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.040 | Conf:0.70 | LR:9.39e-05
Ep 17 | B 0 | Src:10.45 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 10 | Src:11.01 | Psd:29.33 | PLs:1 | AvgC:0.771 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 20 | Src:12.81 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 30 | Src:20.61 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 40 | Src:12.43 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 50 | Src:11.31 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 60 | Src:12.85 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 70 | Src:11.68 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 80 | Src:10.06 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 17 | B 90 | Src:12.08 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.043 | Conf:0.70 | LR:9.31e-05
Ep 18 | B 0 | Src:10.12 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 10 | Src:13.08 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 20 | Src:15.96 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 30 | Src:14.35 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 40 | Src:8.07 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 50 | Src:7.94 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.045 | Conf:0.70 | LR:9.23e-05
Ep 18 | B 60 | Src:13.04 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.045 | Conf:0.70 | LR:9.23e-05
