Ep 16 | B 40 | Src:10.44 | Psd:5.31 | PLs:9 | AvgC:0.762 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 16 | B 50 | Src:16.94 | Psd:7.34 | PLs:48 | AvgC:0.730 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 16 | B 60 | Src:14.17 | Psd:11.06 | PLs:4 | AvgC:0.681 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 16 | B 70 | Src:12.35 | Psd:9.26 | PLs:38 | AvgC:0.753 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 16 | B 80 | Src:10.47 | Psd:5.87 | PLs:3 | AvgC:0.818 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 16 | B 90 | Src:9.67 | Psd:8.11 | PLs:18 | AvgC:0.721 | λ:0.067 | Conf:0.48 | LR:9.39e-05
Ep 17 | B 0 | Src:8.75 | Psd:8.06 | PLs:7 | AvgC:0.758 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 10 | Src:9.24 | Psd:16.45 | PLs:5 | AvgC:0.689 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 20 | Src:10.91 | Psd:11.31 | PLs:35 | AvgC:0.714 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 30 | Src:11.72 | Psd:9.67 | PLs:11 | AvgC:0.687 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 40 | Src:7.45 | Psd:7.52 | PLs:5 | AvgC:0.761 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 50 | Src:12.45 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 60 | Src:10.95 | Psd:6.51 | PLs:19 | AvgC:0.685 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 70 | Src:14.21 | Psd:8.25 | PLs:13 | AvgC:0.786 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 80 | Src:13.48 | Psd:6.71 | PLs:12 | AvgC:0.777 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 17 | B 90 | Src:12.55 | Psd:7.37 | PLs:5 | AvgC:0.712 | λ:0.078 | Conf:0.47 | LR:9.31e-05
Ep 18 | B 0 | Src:13.31 | Psd:8.18 | PLs:18 | AvgC:0.766 | λ:0.089 | Conf:0.47 | LR:9.23e-05
Ep 18 | B 10 | Src:15.15 | Psd:11.85 | PLs:31 | AvgC:0.729 | λ:0.089 | Conf:0.47 | LR:9.23e-05
Ep 18 | B 20 | Src:11.99 | Psd:6.39 | PLs:49 | AvgC:0.778 | λ:0.089 | Conf:0.47 | LR:9.23e-05
Ep 18 | B 30 | Src:11.06 | Psd:6.63 | PLs:11 | AvgC:0.777 | λ:0.089 | Conf:0.47 | LR:9.23e-05
Ep 18 | B 40 | Src:13.10 | Psd:9.98 | PLs:55 | AvgC:0.748 | λ:0.089 | Conf:0.47 | LR:9.23e-05
